,node_1,node_2,start_of_interaction,end_of_interaction,duration,distance,angle
1713,fly6,fly5,19506,19536,31,,
2518,fly5,fly6,19507,19548,42,,
1191,fly12,fly6,19516,19604,89,,
1608,fly6,fly12,19517,19606,90,,
2482,fly5,fly12,19536,19578,43,,
2961,fly10,fly11,19538,19582,45,,
2519,fly5,fly6,19551,19629,79,,
844,fly11,fly2,19583,19607,25,,
2491,fly5,fly1,19586,19717,132,,
1622,fly6,fly1,19588,19619,32,,
1375,fly1,fly6,19607,19646,40,,
1286,fly12,fly8,19654,19702,49,,
2720,fly8,fly12,19655,19711,57,,
2354,fly7,fly8,19664,19723,60,,
2208,fly7,fly12,19705,19718,14,,
53,fly9,fly2,19708,19728,21,,
2815,fly8,fly7,19723,19812,90,,
2226,fly7,fly1,19725,19825,101,,
1401,fly1,fly7,19728,19817,90,,
139,fly9,fly6,19731,19747,17,,
54,fly9,fly2,19765,19784,20,,
513,fly2,fly9,19766,19783,18,,
1490,fly6,fly3,19770,19785,16,,
2520,fly5,fly6,19789,19847,59,,
2261,fly7,fly6,19830,19859,30,,
1677,fly6,fly7,19830,19856,27,,
2331,fly7,fly5,19833,19849,17,,
2332,fly7,fly5,19852,19865,14,,
78,fly9,fly11,19865,20178,314,,
2355,fly7,fly8,19883,19900,18,,
2816,fly8,fly7,19908,19925,18,,
1623,fly6,fly1,19916,20079,164,,
2435,fly5,fly2,19921,19956,36,,
1219,fly12,fly4,19925,19954,30,,
2521,fly5,fly6,19970,20035,66,,
1904,fly4,fly12,19978,20007,30,,
1376,fly1,fly6,20055,20087,33,,
3056,fly10,fly4,20057,20138,82,,
2262,fly7,fly6,20061,20100,40,,
2522,fly5,fly6,20089,20122,34,,
1878,fly4,fly11,20090,20156,67,,
941,fly11,fly4,20090,20159,70,,
2721,fly8,fly12,20098,20129,32,,
1678,fly6,fly7,20100,20115,16,,
2572,fly5,fly7,20122,20290,169,,
1491,fly6,fly3,20149,20195,47,,
395,fly3,fly6,20149,20183,35,,
1051,fly11,fly10,20156,20217,62,,
2962,fly10,fly11,20156,20192,37,,
165,fly9,fly4,20167,20192,26,,
79,fly9,fly11,20190,20331,142,,
1849,fly4,fly2,20209,20228,20,,
55,fly9,fly2,20256,20288,33,,
565,fly2,fly11,20260,20290,31,,
1646,fly6,fly4,20308,20367,60,,
1052,fly11,fly10,20345,20388,44,,
2883,fly10,fly9,20401,20490,90,,
1562,fly6,fly11,20405,20462,58,,
189,fly9,fly7,20427,20456,30,,
239,fly9,fly8,20430,20463,34,,
2076,fly7,fly9,20431,20460,30,,
3111,fly10,fly8,20446,20470,25,,
253,fly9,fly10,20454,20529,76,,
3081,fly10,fly7,20479,20497,19,,
2627,fly8,fly9,20480,20498,19,,
2817,fly8,fly7,20484,20506,23,,
190,fly9,fly7,20485,20514,30,,
1774,fly6,fly10,20517,20558,42,,
140,fly9,fly6,20517,20557,41,,
2077,fly7,fly9,20532,20578,47,,
2884,fly10,fly9,20536,20562,27,,
254,fly9,fly10,20536,20566,31,,
1459,fly6,fly9,20540,20553,14,,
1999,fly4,fly5,20553,20617,65,,
2492,fly5,fly1,20564,20795,232,,
3033,fly10,fly6,20565,20581,17,,
191,fly9,fly7,20574,20588,15,,
2383,fly7,fly10,20586,20666,81,,
1915,fly4,fly1,20592,20614,23,,
1387,fly1,fly4,20594,20609,16,,
3082,fly10,fly7,20598,20619,22,,
1411,fly1,fly5,20600,20793,194,,
653,fly2,fly6,20600,20631,32,,
2538,fly5,fly4,20604,20618,15,,
3083,fly10,fly7,20667,20689,23,,
2932,fly10,fly2,20691,20710,20,,
777,fly2,fly10,20692,20726,35,,
423,fly3,fly4,20692,20710,19,,
1828,fly4,fly3,20692,20726,35,,
2933,fly10,fly2,20712,20745,34,,
1295,fly12,fly10,20715,20768,54,,
424,fly3,fly4,20719,20736,18,,
709,fly2,fly7,20725,20746,22,,
367,fly3,fly1,20740,20785,46,,
1321,fly1,fly3,20743,20790,48,,
2150,fly7,fly2,20744,20770,27,,
1679,fly6,fly7,20746,20831,86,,
2418,fly5,fly3,20767,20788,22,,
468,fly3,fly5,20767,20818,52,,
2977,fly10,fly12,20791,20805,15,,
1850,fly4,fly2,20856,20902,47,,
240,fly9,fly8,20862,20886,25,,
1287,fly12,fly8,20935,20969,35,,
2263,fly7,fly6,20948,20997,50,,
2078,fly7,fly9,20968,20985,18,,
2934,fly10,fly2,20970,20984,15,,
2079,fly7,fly9,20989,21006,18,,
192,fly9,fly7,20996,21010,15,,
2333,fly7,fly5,21019,21039,21,,
1680,fly6,fly7,21021,21075,55,,
2791,fly8,fly4,21030,21069,40,,
2029,fly4,fly8,21030,21069,40,,
255,fly9,fly10,21091,21127,37,,
2885,fly10,fly9,21091,21111,21,,
354,fly3,fly12,21136,21205,70,,
453,fly3,fly7,21141,21163,23,,
2886,fly10,fly9,21144,21189,46,,
2660,fly8,fly2,21148,21200,53,,
1681,fly6,fly7,21151,21167,17,,
1092,fly12,fly3,21161,21183,23,,
1412,fly1,fly5,21181,21635,455,,
2209,fly7,fly12,21187,21223,37,,
752,fly2,fly8,21196,21215,20,,
2114,fly7,fly3,21198,21219,22,,
1093,fly12,fly3,21209,21296,88,,
1220,fly12,fly4,21229,21267,39,,
1905,fly4,fly12,21242,21267,26,,
2818,fly8,fly7,21259,21306,48,,
2356,fly7,fly8,21265,21306,42,,
2611,fly5,fly10,21293,21453,161,,
2151,fly7,fly2,21305,21333,29,,
710,fly2,fly7,21306,21325,20,,
355,fly3,fly12,21309,21346,38,,
1647,fly6,fly4,21344,21365,22,,
1151,fly12,fly11,21353,21565,213,,
1936,fly4,fly6,21357,21403,47,,
3057,fly10,fly4,21394,21435,42,,
2000,fly4,fly5,21399,21444,46,,
2047,fly4,fly10,21401,21416,16,,
2048,fly4,fly10,21422,21451,30,,
2539,fly5,fly4,21425,21444,20,,
1026,fly11,fly8,21468,21482,15,,
1801,fly4,fly9,21474,21524,51,,
166,fly9,fly4,21474,21537,64,,
867,fly11,fly12,21523,21649,127,,
2758,fly8,fly6,21534,21555,22,,
1741,fly6,fly8,21534,21550,17,,
313,fly3,fly2,21539,21588,50,,
541,fly2,fly3,21544,21600,57,,
167,fly9,fly4,21553,21634,82,,
1802,fly4,fly9,21558,21614,57,,
2759,fly8,fly6,21584,21603,20,,
2865,fly8,fly10,21674,21700,27,,
1314,fly1,fly9,21732,21984,253,,
2591,fly5,fly8,21818,21867,50,,
1775,fly6,fly10,21856,21895,40,,
2493,fly5,fly1,21859,21886,28,,
1972,fly4,fly7,21862,21911,50,,
2842,fly8,fly5,21885,21914,30,,
1829,fly4,fly3,21894,21926,33,,
1776,fly6,fly10,21898,21917,20,,
425,fly3,fly4,21910,21926,17,,
2494,fly5,fly1,21920,21933,14,,
124,fly9,fly1,21932,21949,18,,
220,fly9,fly5,21938,21989,52,,
2408,fly5,fly9,21940,21982,43,,
1777,fly6,fly10,21941,21960,20,,
1973,fly4,fly7,21943,21959,17,,
1778,fly6,fly10,21964,22017,54,,
125,fly9,fly1,21976,22005,30,,
3034,fly10,fly6,21993,22017,25,,
711,fly2,fly7,21997,22013,17,,
1315,fly1,fly9,22044,22170,127,,
2645,fly8,fly3,22049,22114,66,,
2963,fly10,fly11,22063,22168,106,,
1053,fly11,fly10,22066,22177,112,,
1682,fly6,fly7,22133,22193,61,,
2978,fly10,fly12,22191,22288,98,,
753,fly2,fly8,22198,22217,20,,
1683,fly6,fly7,22203,22222,20,,
2227,fly7,fly1,22212,22226,15,,
1714,fly6,fly5,22216,22281,66,,
454,fly3,fly7,22230,22269,40,,
1413,fly1,fly5,22237,22483,247,,
2523,fly5,fly6,22243,22285,43,,
2979,fly10,fly12,22290,22362,73,,
1054,fly11,fly10,22304,22356,53,,
1055,fly11,fly10,22365,22378,14,,
2115,fly7,fly3,22452,22472,21,,
2866,fly8,fly10,22452,22492,41,,
3112,fly10,fly8,22452,22530,79,,
1648,fly6,fly4,22480,22496,17,,
2116,fly7,fly3,22497,22535,39,,
2867,fly8,fly10,22511,22543,33,,
3035,fly10,fly6,22554,22595,42,,
1779,fly6,fly10,22555,22591,37,,
2540,fly5,fly4,22559,22608,50,,
1780,fly6,fly10,22598,22615,18,,
3036,fly10,fly6,22611,22626,16,,
2760,fly8,fly6,22618,22666,49,,
1742,fly6,fly8,22618,22681,64,,
3113,fly10,fly8,22626,22642,17,,
2541,fly5,fly4,22643,22924,282,,
2573,fly5,fly7,22662,22680,19,,
1974,fly4,fly7,22679,22698,20,,
256,fly9,fly10,22688,22715,28,,
2887,fly10,fly9,22688,22728,41,,
141,fly9,fly6,22716,22739,24,,
2819,fly8,fly7,22787,22824,38,,
2357,fly7,fly8,22787,22804,18,,
2689,fly8,fly11,22805,22894,90,,
257,fly9,fly10,22831,22853,23,,
2888,fly10,fly9,22831,22868,38,,
1460,fly6,fly9,22844,22871,28,,
1027,fly11,fly8,22854,22894,41,,
142,fly9,fly6,22864,22888,25,,
732,fly2,fly5,22871,22907,37,,
1851,fly4,fly2,22873,22934,62,,
2264,fly7,fly6,22903,22931,29,,
1684,fly6,fly7,22903,22966,64,,
733,fly2,fly5,22912,22925,14,,
670,fly2,fly4,22919,22933,15,,
497,fly3,fly10,22928,22977,50,,
2904,fly10,fly3,22935,22961,27,,
2001,fly4,fly5,22949,22963,15,,
1685,fly6,fly7,22968,22981,14,,
2265,fly7,fly6,23001,23044,44,,
1686,fly6,fly7,23001,23038,38,,
2628,fly8,fly9,23030,23088,59,,
1388,fly1,fly4,23042,23056,15,,
845,fly11,fly2,23081,23126,46,,
241,fly9,fly8,23082,23100,19,,
566,fly2,fly11,23092,23122,31,,
2049,fly4,fly10,23136,23204,69,,
2462,fly5,fly11,23154,23222,69,,
3058,fly10,fly4,23176,23205,30,,
1522,fly6,fly2,23203,23247,45,,
1094,fly12,fly3,23218,23258,41,,
356,fly3,fly12,23219,23255,37,,
2030,fly4,fly8,23225,23275,51,,
2524,fly5,fly6,23235,23270,36,,
2792,fly8,fly4,23248,23275,28,,
712,fly2,fly7,23249,23296,48,,
1523,fly6,fly2,23252,23276,25,,
357,fly3,fly12,23262,23287,26,,
1095,fly12,fly3,23270,23288,19,,
2525,fly5,fly6,23282,23303,22,,
1715,fly6,fly5,23293,23320,28,,
1028,fly11,fly8,23418,23483,66,,
2690,fly8,fly11,23419,23509,91,,
426,fly3,fly4,23459,23487,29,,
2297,fly7,fly4,23492,23557,66,,
3037,fly10,fly6,23492,23524,33,,
1029,fly11,fly8,23494,23511,18,,
1975,fly4,fly7,23495,23524,30,,
793,fly11,fly9,23511,23531,21,,
80,fly9,fly11,23512,23530,19,,
1976,fly4,fly7,23534,23557,24,,
1624,fly6,fly1,23566,23596,31,,
1743,fly6,fly8,23570,23615,46,,
2761,fly8,fly6,23570,23615,46,,
1121,fly12,fly2,23572,23611,40,,
2868,fly8,fly10,23575,23597,23,,
1781,fly6,fly10,23575,23610,36,,
2732,fly8,fly1,23585,23660,76,,
1419,fly1,fly8,23648,23672,25,,
1262,fly12,fly5,23652,24295,644,,
2722,fly8,fly12,23656,23674,19,,
2592,fly5,fly8,23697,23733,37,,
2483,fly5,fly12,23719,24039,321,,
713,fly2,fly7,23735,23748,14,,
2152,fly7,fly2,23746,23774,29,,
794,fly11,fly9,23747,23772,26,,
2117,fly7,fly3,23763,23784,22,,
455,fly3,fly7,23766,23790,25,,
81,fly9,fly11,23776,23855,80,,
1625,fly6,fly1,23793,23806,14,,
1782,fly6,fly10,23796,23825,30,,
3038,fly10,fly6,23814,23831,18,,
1977,fly4,fly7,23866,23981,116,,
1440,fly1,fly10,23874,23968,95,,
2031,fly4,fly8,23882,23895,14,,
2820,fly8,fly7,23896,23909,14,,
795,fly11,fly9,23914,24144,231,,
3003,fly10,fly1,23925,24040,116,,
1441,fly1,fly10,23974,24020,47,,
396,fly3,fly6,23978,23991,14,,
56,fly9,fly2,23984,24026,43,,
2298,fly7,fly4,24014,24039,26,,
846,fly11,fly2,24021,24037,17,,
143,fly9,fly6,24049,24122,74,,
2153,fly7,fly2,24106,24130,25,,
2484,fly5,fly12,24108,24138,31,,
2485,fly5,fly12,24145,24218,74,,
1461,fly6,fly9,24150,24234,85,,
976,fly11,fly7,24151,24199,49,,
2188,fly7,fly11,24161,24192,32,,
2762,fly8,fly6,24190,24219,30,,
2080,fly7,fly9,24190,24207,18,,
915,fly11,fly6,24196,24220,25,,
1563,fly6,fly11,24200,24249,50,,
796,fly11,fly9,24203,24227,25,,
2691,fly8,fly11,24214,24251,38,,
2793,fly8,fly4,24260,24301,42,,
2032,fly4,fly8,24261,24305,45,,
2763,fly8,fly6,24261,24296,36,,
1937,fly4,fly6,24264,24311,48,,
594,fly2,fly12,24268,24356,89,,
1649,fly6,fly4,24280,24313,34,,
1744,fly6,fly8,24310,24338,29,,
1745,fly6,fly8,24347,24366,20,,
977,fly11,fly7,24347,24372,26,,
2905,fly10,fly3,24379,24406,28,,
498,fly3,fly10,24379,24406,28,,
2266,fly7,fly6,24396,24410,15,,
126,fly9,fly1,24397,24499,103,,
942,fly11,fly4,24399,24428,30,,
1687,fly6,fly7,24413,24429,17,,
1879,fly4,fly11,24416,24497,82,,
2358,fly7,fly8,24429,24501,73,,
2419,fly5,fly3,24515,24600,86,,
2359,fly7,fly8,24521,24536,16,,
797,fly11,fly9,24522,24539,18,,
714,fly2,fly7,24537,24589,53,,
1096,fly12,fly3,24547,24597,51,,
943,fly11,fly4,24557,24703,147,,
1880,fly4,fly11,24559,24606,48,,
469,fly3,fly5,24586,24600,15,,
1239,fly12,fly7,24603,24619,17,,
2210,fly7,fly12,24613,24753,141,,
2574,fly5,fly7,24614,24770,157,,
1240,fly12,fly7,24625,24640,16,,
1241,fly12,fly7,24642,24783,142,,
1462,fly6,fly9,24664,24686,23,,
542,fly2,fly3,24681,24695,15,,
1524,fly6,fly2,24687,24700,14,,
57,fly9,fly2,24688,24703,16,,
144,fly9,fly6,24694,24748,55,,
24,fly9,fly3,24697,24723,27,,
397,fly3,fly6,24699,24736,38,,
283,fly3,fly9,24702,24722,21,,
1192,fly12,fly6,24750,24804,55,,
1609,fly6,fly12,24750,24772,23,,
2267,fly7,fly6,24752,24776,25,,
879,fly11,fly1,24752,24792,41,,
1688,fly6,fly7,24758,24774,17,,
1852,fly4,fly2,24773,24790,18,,
671,fly2,fly4,24774,24792,19,,
1689,fly6,fly7,24784,24805,22,,
2268,fly7,fly6,24792,24826,35,,
1352,fly1,fly11,24803,24853,51,,
2334,fly7,fly5,24816,24833,18,,
880,fly11,fly1,24829,24889,61,,
284,fly3,fly9,24831,24861,31,,
107,fly9,fly12,24833,24946,114,,
1296,fly12,fly10,24845,24861,17,,
567,fly2,fly11,24856,24891,36,,
847,fly11,fly2,24856,24871,16,,
2360,fly7,fly8,24861,24904,44,,
2821,fly8,fly7,24861,24901,41,,
1297,fly12,fly10,24865,24885,21,,
285,fly3,fly9,24865,24880,16,,
145,fly9,fly6,24873,24956,84,,
1610,fly6,fly12,24876,24976,101,,
1298,fly12,fly10,24904,24993,90,,
427,fly3,fly4,24921,24942,22,,
2980,fly10,fly12,24930,25043,114,,
1463,fly6,fly9,24932,24957,26,,
1830,fly4,fly3,24938,24994,57,,
168,fly9,fly4,24939,24963,25,,
25,fly9,fly3,24946,24966,21,,
1803,fly4,fly9,24965,24982,18,,
1193,fly12,fly6,24973,25005,33,,
108,fly9,fly12,24975,25203,229,,
3039,fly10,fly6,24975,24999,25,,
1074,fly12,fly9,24978,25529,552,,
146,fly9,fly6,24978,24999,22,,
26,fly9,fly3,24989,25016,28,,
258,fly9,fly10,25006,25019,14,,
2889,fly10,fly9,25006,25061,56,,
2002,fly4,fly5,25011,25047,37,,
1299,fly12,fly10,25017,25062,46,,
2822,fly8,fly7,25029,25056,28,,
2361,fly7,fly8,25029,25089,61,,
2823,fly8,fly7,25061,25088,28,,
2981,fly10,fly12,25064,25260,197,,
2661,fly8,fly2,25113,25195,83,,
820,fly11,fly3,25147,25218,72,,
331,fly3,fly11,25147,25186,40,,
2575,fly5,fly7,25158,25172,15,,
754,fly2,fly8,25179,25196,18,,
193,fly9,fly7,25201,25215,15,,
109,fly9,fly12,25231,25475,245,,
672,fly2,fly4,25232,25255,24,,
332,fly3,fly11,25263,25310,48,,
821,fly11,fly3,25275,25296,22,,
978,fly11,fly7,25297,25326,30,,
2189,fly7,fly11,25303,25329,27,,
2436,fly5,fly2,25312,25329,18,,
499,fly3,fly10,25314,25353,40,,
2906,fly10,fly3,25327,25354,28,,
1056,fly11,fly10,25338,25407,70,,
1626,fly6,fly1,25344,25363,20,,
2964,fly10,fly11,25353,25390,38,,
1377,fly1,fly6,25370,25554,185,,
1627,fly6,fly1,25394,25556,163,,
1402,fly1,fly7,25436,25452,17,,
734,fly2,fly5,25451,25483,33,,
58,fly9,fly2,25497,25514,18,,
27,fly9,fly3,25515,25528,14,,
286,fly3,fly9,25519,25569,51,,
470,fly3,fly5,25573,25645,73,,
848,fly11,fly2,25595,25609,15,,
568,fly2,fly11,25595,25627,33,,
2299,fly7,fly4,25636,25675,40,,
2733,fly8,fly1,25650,25678,29,,
1420,fly1,fly8,25654,25705,52,,
1690,fly6,fly7,25701,25756,56,,
1421,fly1,fly8,25715,26022,308,,
1339,fly1,fly2,25741,25758,18,,
2662,fly8,fly2,25756,25772,17,,
471,fly3,fly5,25827,25864,38,,
287,fly3,fly9,25835,25886,52,,
2384,fly7,fly10,25841,25854,14,,
1492,fly6,fly3,25874,25903,30,,
398,fly3,fly6,25884,25902,19,,
1493,fly6,fly3,25930,25963,34,,
2824,fly8,fly7,25959,26007,49,,
3059,fly10,fly4,25985,26165,181,,
1097,fly12,fly3,25993,26011,19,,
1194,fly12,fly6,26001,26111,111,,
1403,fly1,fly7,26001,26021,21,,
358,fly3,fly12,26003,26026,24,,
359,fly3,fly12,26028,26143,116,,
778,fly2,fly10,26032,26058,27,,
399,fly3,fly6,26045,26068,24,,
2935,fly10,fly2,26053,26082,30,,
673,fly2,fly4,26066,26142,77,,
400,fly3,fly6,26070,26120,51,,
2890,fly10,fly9,26075,26124,50,,
1853,fly4,fly2,26115,26155,41,,
259,fly9,fly10,26122,26148,27,,
2891,fly10,fly9,26126,26164,39,,
916,fly11,fly6,26130,26154,25,,
1564,fly6,fly11,26137,26153,17,,
2936,fly10,fly2,26157,26282,126,,
2050,fly4,fly10,26170,26183,14,,
2269,fly7,fly6,26172,26189,18,,
2409,fly5,fly9,26175,26202,28,,
260,fly9,fly10,26194,26288,95,,
2003,fly4,fly5,26202,26233,32,,
2410,fly5,fly9,26228,26271,44,,
360,fly3,fly12,26250,26758,509,,
1221,fly12,fly4,26272,26304,33,,
1691,fly6,fly7,26273,26345,73,,
428,fly3,fly4,26278,26312,35,,
2937,fly10,fly2,26337,26368,32,,
2437,fly5,fly2,26349,26394,46,,
2228,fly7,fly1,26392,26415,24,,
1831,fly4,fly3,26404,26443,40,,
944,fly11,fly4,26409,26503,95,,
333,fly3,fly11,26426,26567,142,,
1881,fly4,fly11,26429,26503,75,,
1122,fly12,fly2,26433,26449,17,,
2612,fly5,fly10,26445,26497,53,,
917,fly11,fly6,26463,26585,123,,
849,fly11,fly2,26472,26549,78,,
543,fly2,fly3,26473,26522,50,,
1854,fly4,fly2,26474,26500,27,,
569,fly2,fly11,26488,26548,61,,
1650,fly6,fly4,26489,26518,30,,
1938,fly4,fly6,26494,26528,35,,
1525,fly6,fly2,26511,26577,67,,
654,fly2,fly6,26535,26575,41,,
674,fly2,fly4,26576,26602,27,,
401,fly3,fly6,26597,26695,99,,
1565,fly6,fly11,26607,26780,174,,
1916,fly4,fly1,26630,26658,29,,
1389,fly1,fly4,26631,26665,35,,
3095,fly10,fly5,26633,26670,38,,
1494,fly6,fly3,26678,26749,72,,
2385,fly7,fly10,26709,26734,26,,
3084,fly10,fly7,26742,26768,27,,
822,fly11,fly3,26765,26779,15,,
616,fly2,fly1,26766,26809,44,,
1340,fly1,fly2,26766,26800,35,,
823,fly11,fly3,26793,26887,95,,
2843,fly8,fly5,26794,26838,45,,
2593,fly5,fly8,26794,26883,90,,
334,fly3,fly11,26799,26846,48,,
169,fly9,fly4,26815,26828,14,,
2211,fly7,fly12,26852,26899,48,,
2844,fly8,fly5,26854,26886,33,,
456,fly3,fly7,26855,26868,14,,
1628,fly6,fly1,26874,26935,62,,
1378,fly1,fly6,26875,26911,37,,
2118,fly7,fly3,26909,26924,16,,
457,fly3,fly7,26917,26946,30,,
361,fly3,fly12,26927,26965,39,,
2190,fly7,fly11,26932,26948,17,,
59,fly9,fly2,26933,26950,18,,
1098,fly12,fly3,26933,26974,42,,
2212,fly7,fly12,26943,26960,18,,
1242,fly12,fly7,26946,26977,32,,
2845,fly8,fly5,26966,26991,26,,
2613,fly5,fly10,26976,27000,25,,
2213,fly7,fly12,26993,27044,52,,
2614,fly5,fly10,27008,27334,327,,
1464,fly6,fly9,27009,27034,26,,
1243,fly12,fly7,27019,27047,29,,
147,fly9,fly6,27023,27051,29,,
3060,fly10,fly4,27054,27118,65,,
1244,fly12,fly7,27067,27178,112,,
1152,fly12,fly11,27067,27128,62,,
868,fly11,fly12,27106,27128,23,,
2542,fly5,fly4,27109,27158,50,,
3061,fly10,fly4,27121,27144,24,,
2692,fly8,fly11,27153,27171,19,,
1316,fly1,fly9,27163,27193,31,,
2693,fly8,fly11,27209,27223,15,,
2543,fly5,fly4,27236,27845,610,,
1855,fly4,fly2,27272,27320,49,,
110,fly9,fly12,27302,27393,92,,
1075,fly12,fly9,27314,27586,273,,
798,fly11,fly9,27318,27601,284,,
755,fly2,fly8,27373,27400,28,,
82,fly9,fly11,27376,27425,50,,
2663,fly8,fly2,27388,27419,32,,
1939,fly4,fly6,27394,27458,65,,
2846,fly8,fly5,27415,27532,118,,
2794,fly8,fly4,27431,27463,33,,
2594,fly5,fly8,27438,27531,94,,
83,fly9,fly11,27455,27495,41,,
2795,fly8,fly4,27468,27596,129,,
2764,fly8,fly6,27470,27488,19,,
2033,fly4,fly8,27470,27609,140,,
111,fly9,fly12,27496,27590,95,,
490,fly3,fly8,27612,27646,35,,
850,fly11,fly2,27622,27637,16,,
1123,fly12,fly2,27632,27653,22,,
570,fly2,fly11,27633,27647,15,,
1153,fly12,fly11,27639,27660,22,,
595,fly2,fly12,27648,27697,50,,
1341,fly1,fly2,27653,27680,28,,
1404,fly1,fly7,27655,27670,16,,
1566,fly6,fly11,27657,27687,31,,
617,fly2,fly1,27657,27691,35,,
1360,fly1,fly12,27664,27699,36,,
1159,fly12,fly1,27671,27699,29,,
1405,fly1,fly7,27686,27714,29,,
2154,fly7,fly2,27698,27756,59,,
2214,fly7,fly12,27700,27730,31,,
2229,fly7,fly1,27702,27715,14,,
1124,fly12,fly2,27703,27717,15,,
1361,fly1,fly12,27706,28329,624,,
1567,fly6,fly11,27714,27749,36,,
596,fly2,fly12,27717,27764,48,,
979,fly11,fly7,27719,27755,37,,
1692,fly6,fly7,27728,27753,26,,
1160,fly12,fly1,27736,27831,96,,
918,fly11,fly6,27739,27759,21,,
2270,fly7,fly6,27748,27775,28,,
851,fly11,fly2,27769,27794,26,,
1568,fly6,fly11,27774,27809,36,,
2300,fly7,fly4,27783,27797,15,,
2362,fly7,fly8,27825,27848,24,,
2825,fly8,fly7,27825,27861,37,,
1161,fly12,fly1,27834,27855,22,,
2463,fly5,fly11,27845,27872,28,,
2464,fly5,fly11,27880,27896,17,,
999,fly11,fly5,27885,27899,15,,
2544,fly5,fly4,27886,27973,88,,
1125,fly12,fly2,27904,27923,20,,
779,fly2,fly10,27904,27931,28,,
945,fly11,fly4,27910,27995,86,,
1000,fly11,fly5,27928,27941,14,,
2465,fly5,fly11,27929,27990,62,,
28,fly9,fly3,27931,27945,15,,
1300,fly12,fly10,27969,27984,16,,
1001,fly11,fly5,27971,27989,19,,
1882,fly4,fly11,27979,28008,30,,
2004,fly4,fly5,28017,28037,21,,
2545,fly5,fly4,28027,28046,20,,
1030,fly11,fly8,28034,28118,85,,
2982,fly10,fly12,28063,28121,59,,
1162,fly12,fly1,28074,28250,177,,
2546,fly5,fly4,28081,28095,15,,
1301,fly12,fly10,28105,28122,18,,
1651,fly6,fly4,28117,28203,87,,
780,fly2,fly10,28152,28184,33,,
1526,fly6,fly2,28165,28186,22,,
1940,fly4,fly6,28194,28248,55,,
675,fly2,fly4,28195,28221,27,,
1856,fly4,fly2,28204,28230,27,,
655,fly2,fly6,28209,28229,21,,
1527,fly6,fly2,28221,28258,38,,
3062,fly10,fly4,28234,28248,15,,
2938,fly10,fly2,28249,28317,69,,
1222,fly12,fly4,28251,28403,153,,
1941,fly4,fly6,28256,28292,37,,
781,fly2,fly10,28259,28304,46,,
84,fly9,fly11,28259,28289,31,,
1528,fly6,fly2,28260,28328,69,,
1379,fly1,fly6,28260,28366,107,,
1906,fly4,fly12,28268,28403,136,,
1917,fly4,fly1,28272,28296,25,,
3085,fly10,fly7,28286,28332,47,,
715,fly2,fly7,28290,28434,145,,
1942,fly4,fly6,28294,28358,65,,
2386,fly7,fly10,28296,28332,37,,
1918,fly4,fly1,28298,28328,31,,
1126,fly12,fly2,28303,28441,139,,
1693,fly6,fly7,28309,28343,35,,
1857,fly4,fly2,28322,28399,78,,
1245,fly12,fly7,28333,28434,102,,
362,fly3,fly12,28336,28381,46,,
656,fly2,fly6,28339,28407,69,,
368,fly3,fly1,28341,28467,127,,
1978,fly4,fly7,28344,28360,17,,
597,fly2,fly12,28345,28416,72,,
618,fly2,fly1,28347,28394,48,,
1322,fly1,fly3,28359,28429,71,,
2271,fly7,fly6,28362,28438,77,,
1979,fly4,fly7,28378,28398,21,,
1919,fly4,fly1,28394,28426,33,,
1832,fly4,fly3,28404,28429,26,,
429,fly3,fly4,28405,28429,25,,
1195,fly12,fly6,28409,28441,33,,
2215,fly7,fly12,28419,28444,26,,
363,fly3,fly12,28426,28481,56,,
1390,fly1,fly4,28427,28573,147,,
1920,fly4,fly1,28431,28574,144,,
2230,fly7,fly1,28433,28450,18,,
1611,fly6,fly12,28434,28799,366,,
1495,fly6,fly3,28436,28586,151,,
402,fly3,fly6,28437,28492,56,,
2155,fly7,fly2,28441,28455,15,,
1163,fly12,fly1,28442,28799,358,,
1099,fly12,fly3,28442,28799,358,,
598,fly2,fly12,28442,28463,22,,
1127,fly12,fly2,28448,28517,70,,
619,fly2,fly1,28450,28634,185,,
314,fly3,fly2,28452,28546,95,,
544,fly2,fly3,28453,28545,93,,
676,fly2,fly4,28455,28472,18,,
430,fly3,fly4,28467,28545,79,,
1833,fly4,fly3,28467,28545,79,,
369,fly3,fly1,28471,28484,14,,
370,fly3,fly1,28486,28500,15,,
599,fly2,fly12,28488,28508,21,,
371,fly3,fly1,28502,28799,298,,
677,fly2,fly4,28541,28575,35,,
1342,fly1,fly2,28571,28584,14,,
1031,fly11,fly8,28572,28595,24,,
2694,fly8,fly11,28572,28593,22,,
2615,fly5,fly10,28574,28621,48,,
3096,fly10,fly5,28575,28600,26,,
1883,fly4,fly11,28637,28661,25,,
946,fly11,fly4,28637,28799,163,,
2387,fly7,fly10,28719,28749,31,,
3086,fly10,fly7,28731,28750,20,,
3040,fly10,fly6,28782,28799,18,,
